species,island,bill_depth,bill_length,flipper_length
Gentoo,Biscoe,17.3,50.8,228
Gentoo,Biscoe,17,59.6,230
Gentoo,Biscoe,15.7,54.3,231
Adelie,Torgersen,15.9,35.2,186
Chinstrap,Dream,16.6,40.9,187
Adelie,Biscoe,18.6,37.9,172
Adelie,Torgersen,21.5,46,194
Chinstrap,Dream,18.2,51.3,197
Gentoo,Biscoe,16.3,51.1,220
Chinstrap,Dream,19.6,50.5,201
Chinstrap,Dream,19,49.5,200
Gentoo,Biscoe,15.4,46.8,215
Chinstrap,Dream,16.8,47.5,199
Adelie,Torgersen,17.6,41.1,182
Adelie,Dream,18.8,39.6,190
