Font,100,200,300,400,500,600,700,800,900
12px,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø
14px,Ø,Ø,Ø,100B,100B,90B,75B,Ø,Ø
15px,Ø,Ø,Ø,100B,90B,75B,70+15,Ø,Ø
16px,Ø,Ø,Ø,90B,75B,70+15,60+15,60,Ø
18px,Ø,Ø,100B,75B,70+15,60+15,55+15,55,55
21px,Ø,Ø,90B,70B,60+15,55+15,50+15,50,50
24px,Ø,Ø,75B,60+15,55+15,50+15,45+15,45,45
28px,Ø,100,70+15,55+15,50+15,45+15,43+15,43,43
32px,Ø,90,65+15,50+15,45+15,43+15,40+15,40,40
36px,Ø,75,60+15,45+15,43+15,40+15,38+15,38,38
42px,100,70,55,43,40,38,35,35,35
48px,90,60,50,40,38,35,33,33,33
60px,75,55,45,38,35,33,30,30,30
72px,60,50,40,35,33,30,30,30,30
96px,50,45,35,33,30,30,30,30,30
