Quorum Code,Blocks,Explanation
use Libraries.Compute.Statistics.DataFrame,use Libraries.Compute.Statistics.DataFrame,"A use statement lets you use a type of Object in your program. In this case, you are using the DataFrame object."
DataFrame NAME,DataFrame frame,"A variable declaration that makes a new DataFrame. Unlike primitive variables, DataFrame variables don’t need the = sign."
NAME:Load(FILE_NAME),frame:Load(“data/Dogs.csv”),Loads the CSV file from your computer onto Quorum Studio. The file should exist in a path that the system can identify such as within the project folder.
NAME:AddSelectedColumn(COLUMN_INDEX),frame:AddSelectedColumn(3),Adds a column via index into the DataFrame object
"NAME:AddSelectedColumnRange(n, n)","frame:AddSelectedColumnRange(3,6)",Adds a range of columns via index into the DataFrame object
NAME:ToText(),frame:ToText(),Outputs the entire loaded file into the console
NAME:Mean(),frame:Mean(),Calculates the mean of a selected column of a DataFrame
NAME:Median(),frame:Median(),Calculates the median of a selected column of a DataFrame
NAME:StandardDeviation(),frame:StandardDeviation(),Calculates the Standard Deviation of a selected column of a DataFrame
NAME:Variance(),frame:Variance(),Calculates the Variance of a selected column of a DataFrame
NAME:Kurtosis(),frame:Kurtosis(),Calculates the Kurtosis of a selected column of a DataFrame
