Quorum Code,Code,Explanation
use Libraries.Interface.Controls.Charts.BarChart,use Libraries.Interface.Controls.Charts.BarChart,"A use statement lets you use a type of Object in your program. In this case, you are using the BarChart object."
BarChart NAME,BarChart chart,A variable declaration that makes a new BarChart. You can use the assignment operator on bar chart with a DataFrame
BoxPlot NAME,BoxPlot chart,A variable declaration that makes a new box plot.
DataFrame:AddSelectedFactors(column),frame:AddSelectedFactors(“Breed Group”),Selects a column factor from the CSV file into the DataFrame (can be non-numerical values)
DataFrame:BarChart(),frame:BarChart(),Creates a bar chart with the selected factors and columns
DataFrame:BoxPlot(),frame:BotPlot(),Creates a BoxPlot on the selected factors and columns.
SetTitle(title),chart:SetTitle(“My Chart”),Sets the title of the bar chart
SetYAxisTitle(title),chart:SetYAxisTitle(“Maximum Life Span”),Sets the y axis of the bar chart
SetXAxisTitle(title),chart:SetXAxisTitle(“Dog Breed Group”),Sets the x axis of the bar chart
Display(),chart:Display(),Displays the chart
