Property,Purpose
Name,A name that can be used in the scene tree and a running game to find items.
Position,"The x, y, and z coordinate for the item. For 2D, the z coordinate is used to describe if an item is behind another."
Scale,"The x, y, and z scales of the item. The z scale only appears in 3D."
Rotation,"In 2D, rotation twists the image. In 3D, a rotation can be set around the x, y, or z axis. "
Physics Enabled,"If this is selected, the item will respond to physics operations."
Unmovable,"The object can be taken into account for collisions, but does not move based on physics. A wall is a good example."
Nonresponsive,These objects can be moved but do not respond to physical forces. An example would be a moving platform.
Responsive,"An item that responds to physical forces like gravity, force, torque, and such."
Mass,This is the mass of the item measured in Newtons. It can be any number
Friction,This is how much friction the item has. It can be any number.
Restitution,"This can be thought of how bouncy something is. A value of 0 does not bounce, whereas 1 means it bounces back to the original position. A number above 1 will bounce higher than the original position."
